doc_id	filename	title	year	decade	doc_type	publisher
doc_00000	cihm_38163.pdf	The British treaty [microform] : with an appendix of state papers; which are now first published	1808	1800	other	[London] : America, printed, unknown where, or by whom sold; London, re-printed for John Joseph Stockdale ...
doc_00001	P000045.pdf	Travels and adventures in Canada and the Indian territories between the years 1761 and 1776: In two 	1809	1800	other	Printed and published by I. Riley (New York)
doc_00002	cihm_18748.pdf	The idler [microform]	1810	1810	other	London : Published by W. Suttaby ... Whittingham printer
doc_00003	cihm_18747.pdf	The idler [microform]	1810	1810	other	London : Published by W. Suttaby ... Whittingham printer
doc_00004	cihm_60816.pdf	A view of the state of parties in the United States of America [microform] : being an attempt to acc	1812	1810	other	Edinburgh: Printed by James Ballantyne and Co. for John Ballantyne and Co., Edinburgh, and for Longman, Hurst, Rees, Orme, and Brown, London
doc_00005	cihm_21045.pdf	A brief description of Nova Scotia with plates of the principal harbors [microform] : including a pa	1818	1810	other	London : Printed for the author by G. Hayden ..., and sold by Cadell and Davies ...
doc_00006	cihm_38281.pdf	Historical sketches of the missions of the United Brethren for propagating the gospel among the heat	1818	1810	other	Dublin : Printed by R. Napper ... : and sold by Dugdale, Keene, Milliken, Archer, &c. also by Seely ... London; and Robertson ... Edinburgh
doc_00007	cihm_38167.pdf	Sketches of America [microform] : a narrative of a journey of five thousand miles through the easter	1818	1810	other	London : Printed for Longman, Hurst, Rees, Orme, and Brown ...
doc_00008	cihm_44290.pdf	The history, civil and commercial of the British West Indies [microform]	1819	1810	other	London : Printed by T. Miller ... for G. and W.B. Whittaker ... [and 11 others]; Oliver and Boyd, Edinburgh; and Johnston and Deas, Dublin
doc_00009	cihm_44287.pdf	The history, civil and commercial of the British West Indies [microform]	1819	1810	other	London : Printed by T. Miller ... for G. and W.B. Whittaker ... [and 11 others]; Oliver and Boyd, Edinburgh; and Johnston and Deas, Dublin
doc_00010	cihm_44288.pdf	The history, civil and commercial of the British West Indies [microform]	1819	1810	other	London : Printed by T. Miller ... for G. and W.B. Whittaker ... [and 11 others]; Oliver and Boyd, Edinburgh; and Johnston and Deas, Dublin
doc_00011	cihm_44289.pdf	The history, civil and commercial of the British West Indies [microform]	1819	1810	other	London : Printed by T. Miller ... for G. and W.B. Whittaker ... [and 11 others]; Oliver and Boyd, Edinburgh; and Johnston and Deas, Dublin
doc_00012	cihm_44291.pdf	The history, civil and commercial of the British West Indies [microform]	1819	1810	other	London : Printed by T. Miller ... for G. and W.B. Whittaker ... [11 others],; Oliver and Boyd, Edinburgh; and Johnston and Deas, Dublin
doc_00013	cihm_44292.pdf	The history, civil and commercial of the British West Indies [microform]	1819	1810	other	London : Printed by T. Miller ... for G. and W.B. Whittaker ... [11 others],; Oliver and Boyd, Edinburgh; and Johnston and Deas, Dublin
doc_00014	P000081.pdf	Relation d'un voyage à la côte du nord-ouest de l'Amérique septentrionale, dans les années 1810, 11,	1820	1820	other	Imprimerie de C.B. Pasteur (Montreal)
doc_00015	P000151.pdf	Narrative of a journey to the shores of the polar sea in the years 1819, 20, 21, and 22: With an app	1823	1820	other	John Murray (London)
doc_00016	cihm_41974.pdf	Observations d'un catholique sur l'Histoire du Canada par l'Honorable William Smith [microforme]	1827	1820	other	[S.l. : s.n.]
doc_00017	cihm_52196.pdf	Remarques publiées dans le Québec Mercury nos. 2, 3, 4, 5, 1827, en réponse à un article publié dans	1827	1820	government	[Québec? : s.n.]
doc_00018	cihm_41970.pdf	Copy of a letter from James Stuart, Esq. to the Right Hon. Lord Viscount Goderich [microform] : rela	1831	1830	other	[S.l. : s.n.]
doc_00019	cihm_18733.pdf	Divers documens adressés à l'Honorable Louis Joseph Papineau, orateur de la Chambre d'assemblée, par	1834	1830	other	[S.l. : s.n.
doc_00020	cihm_41964.pdf	Le Bougainville de la jeunesse ou Nouvel abrégé des voyages dans l'Amérique [microforme] : contenant	1839	1830	other	Paris; Limoges [France] : M. Ardant
doc_00021	cihm_18742.pdf	The letter-bag of the Great Western, or, Life in a steamer [microform]	1840	1840	other	Philadelphia : Lea & Blanchard
doc_00022	cihm_41962.pdf	An exploring tour beyond the Rocky Mountains in North America [microform] : under the direction of t	1840	1840	other	[Dublin? : s.n.]
doc_00023	cihm_38161.pdf	A dictionary, geographical, statistical and historical of the various countries, places, and princip	1841	1840	other	London : Printed for Longman, Orme, Brown, Green, and Longmans
doc_00024	cihm_41972.pdf	On the forthcoming union of the two Canadas [microform] : addressed to the Canadian public and their	1841	1840	other	[Montreal? : s.n.]
doc_00025	cihm_46695.pdf	The history of the navy of the United States of America [microform] : abridged in one volume	1841	1840	other	Philadelphia : Thomas, Cowperthwait
doc_00026	cihm_50569.pdf	Historical collections of the state of New York [microform] : containing a general collection of the	1841	1840	other	New York : Published for the authors, by S. Tuttle
doc_00027	cihm_38162.pdf	A dictionary, geographical, statistical and historical of the various countries, places, and princip	1842	1840	other	London : Printed for Longman, Orme, Brown, Green, and Longmans
