doc_id	filename	title	year	decade	doc_type	publisher
doc_00028	attachorsamslic01haligoog.pdf	The Attaché; Or, Sam Slick in England.	1843	1840	other	R. Bentley
doc_00029	attachorsamslic02haligoog.pdf	The attaché, or, Sam Slick in England. Vol. I	1843	1840	other	London : R. Bentley
doc_00030	cihm_18756.pdf	The attaché, or, Sam Slick in England [microform]	1843	1840	other	London : R. Bentley
doc_00031	cihm_18757.pdf	The attaché, or, Sam Slick in England [microform]	1843	1840	other	London : R. Bentley
doc_00032	cihm_24494.pdf	Discovery of New-England by the Northmen five hundred years before Columbus [microform] : with an in	1844	1840	other	[Boston? : s.n.]
doc_00033	cihm_38170.pdf	Campaign against Quebec [microform] : being an accurate and interesting account of the hardships and	1844	1840	other	Watertown, N.Y. : Knowlton & Rice
doc_00034	cihm_41971.pdf	The travellers' hand book for the state of New-York and the province of Canada [microform] : contain	1844	1840	other	New York : T.R. Tanner
doc_00035	cihm_34334.pdf	A system of the creation of our globe, of the planets, and the sun of our system [microform] : found	1845	1840	other	[Toronto? : s.n.]
doc_00036	cihm_47055.pdf	The history of Oregon and California and the other territories on the North-west coast of North Amer	1845	1840	other	New York : D. Appleton; Philadelphia : G.S. Appleton
doc_00037	cihm_18736.pdf	The life and voyages of Americus Vespucius [microform] : with illustrations concerning the navigator	1846	1840	other	New York : Baker & Scribner
doc_00038	cihm_47558.pdf	A journal of visitation to the western portion of his diocese [microform] : by the Lord Bishop of To	1846	1840	other	London : Printed for the Society for the Propagation of the Gospel
doc_00039	P000239.pdf	Sketches in North America and the Oregon Territory	1849	1840	other	Dickinson & Co. ([London]?)
doc_00040	cihm_52193.pdf	Early moral and religious education [microform] : being a lecture delivered to the Mechanics' Instit	1849	1840	other	[Quebec? : s.n.]
doc_00041	cihm_38150.pdf	Salmagundi, or, The whim-whams and opinions of Launcelot Langstaff, Esq., and others [microform]	1850	1850	other	London : H.G. Bohn
doc_00042	cihm_38151.pdf	The sketch book [microform]	1850	1850	other	London : H.G. Bohn
doc_00043	cihm_38152.pdf	Bracebridge Hall, or, The humorists [microform] : a medley	1850	1850	other	London : H.G. Bohn
doc_00044	cihm_38153.pdf	The Alhambra [microform]	1850	1850	other	London : H.G. Bohn
doc_00045	cihm_38154.pdf	A chronicle of the conquest of Granada [microform] : from the mss. of Fray Antonio Agapida : to whic	1850	1850	other	London : H.G. Bohn
doc_00046	cihm_38155.pdf	The life and voyages of Christopher Columbus [microform] : together with the voyages of his companio	1850	1850	other	London : H.G. Bohn
doc_00047	cihm_38156.pdf	The life and voyages of Christopher Columbus [microform] : together with the voyages of his companio	1850	1850	other	London : H.G. Bohn
doc_00048	cihm_38157.pdf	Astoria, or, Anecdotes of an enterprise beyond the Rocky Mountains [microform]	1850	1850	other	London : H.G. Bohn
doc_00049	cihm_38158.pdf	Life of Mahomet [microform]	1850	1850	other	London : H.G. Bohn
doc_00050	cihm_38159.pdf	The adventures of Captain Bonneville, U.S.A. in the Rocky Mountains and the Far West [microform] : d	1850	1850	other	London : H.G. Bohn
doc_00051	cihm_40063.pdf	Lives of Vice-Admiral Sir Charles Vinicombe Penrose, K.C.B. and Captain James Trevenen, knight of th	1850	1850	other	London : J. Murray
doc_00052	salmagundiorwhi09paulgoog.pdf	Salmagundi, or, The whim-whams and opinions of Launcelot Langstaff, Esq., and others. Vol. I	1850	1850	other	London : H.G. Bohn
doc_00053	salmagundiorwhi11paulgoog.pdf	Salmagundi, or, The whim-whams and opinions of Launcelot Langstaff, Esq., and others. Vol. I	1850	1850	other	London : H.G. Bohn
doc_00054	cihm_18744.pdf	Outlines of astronomy [microform]	1851	1850	other	London : Longman, Brown, Green, and Longmans
doc_00055	cihm_40780.pdf	Sir John Franklin and the Arctic regions [microform] : showing the progress of British enterprise fo	1851	1850	other	London : Routledge
doc_00056	cihm_42143.pdf	Guide de l'instituteur [microforme] : contenant une série de réponses [a]ux questions insérées dans 	1851	1850	other	Montréal : P. Gendron
doc_00057	outlinesastrono00hersgoog.pdf	Outlines of astronomy	1851	1850	other	London : Longman, Brown, Green, and Longmans
doc_00058	outlinesastrono06hersgoog.pdf	Outlines of astronomy	1851	1850	other	London : Longman, Brown, Green, and Longmans
doc_00059	cihm_52191.pdf	The rise and progress of Trinity College, Toronto [microform] : with a sketch of the life of the Lor	1852	1850	other	Toronto : H. Rowsell
doc_00060	cihm_18737.pdf	The origin of the North American Indians [microform] : with a faithful description of their manners 	1853	1850	other	New York : Cornish, Lampart
doc_00061	cihm_22408.pdf	Report of the directors and chief engineer of the St. Lawrence and Ottawa Grand Junction Railway Com	1853	1850	annual_report	[Montreal? : s.n.]
doc_00062	cihm_47062.pdf	The forlorn hope [microform] : an appeal to the Church, on the impropriety of using fermented things	1853	1850	other	Toronto : Printed for the author, by J. Cleland
doc_00063	cihm_14516.pdf	Our "constitutional rights" vindicated, or, An argument for the legal proscription of the [tr]affic 	1854	1850	other	[Toronto? : s.n.]
doc_00064	cihm_43250.pdf	A sermon [microform]	1854	1850	other	Quebec : [s.n.]
doc_00065	cihm_43331.pdf	General by-laws, rules and regulations of the Brockville and Ottawa Railway Company [microform] : ad	1854	1850	other	[Brockville, Ont.? : s.n.]
doc_00066	cihm_47988.pdf	Communication from the Secretary of the Treasury [microform] : transmitting in compliance with a res	1854	1850	annual_report	Washington : s.n.]
doc_00067	cihm_47989.pdf	Communication from the Secretary of the Treasury [microform] : transmitting in compliance with a res	1854	1850	annual_report	Washington : s.n.]
doc_00068	cihm_52194.pdf	The ocean [microform]	1854	1850	other	London : Printed for the Society for Promoting Christian Knowledge
doc_00069	cihm_47059.pdf	A lecture delivered before the Brockville Library Association and Mechanics' Institute [microform] :	1855	1850	other	[Brockville, Ont.? : s.n.]
doc_00070	P000325.pdf	Snowflakes and sunbeams, or, The young fur traders: A tale of the far north	1856	1850	other	T. Nelson & Sons (London)
doc_00071	cihm_41963.pdf	Report of decisions of the commission of claims under the convention of February 8, 1853, between th	1856	1850	annual_report	Washington : A.O.P. Nicholson
doc_00072	cihm_60815.pdf	Religious excitements tried by scripture and their fruits tested by experience [microform] : a sermo	1856	1850	other	Toronto : H. Rowsell
doc_00073	P000357.pdf	Prières, cantiques, catéchisme, etc., en langue crise	1857	1850	other	O.M.I., Imprimerie de Louis Perrault (Montreal)
doc_00074	cihm_39262.pdf	Annals of the west [microform] : embracing a concise account of principal events which have occurred	1857	1850	other	Pittsburgh : J.R. Albach
doc_00075	cihm_54106.pdf	Stories of the Canadian forest, or, Little Mary and her nurse [microform]	1857	1850	other	New York; Boston : C.S. Francis
doc_00076	1798858.pdf	Progress of the British North America Exploring Expedition, as Far West as Long. 109° on the Lower S	1857	1850	other	Proceedings of the Royal Geographical Society of London
doc_00077	P000348.pdf	Rapport sur l'exploration de la contrée située entre le lac Supérieur et les établissements de la Ri	1858	1850	other	John Lovell (Toronto)
doc_00078	P000349.pdf	Report on a topographical & geological exploration of the canoe route between Fort William, Lake Sup	1858	1850	other	Printed by Stewart Derbishire & George Desbarats (Toronto)
doc_00079	P000350.pdf	Report on the exploration of the country between Lake Superior and the Red River Settlement	1858	1850	other	John Lovell, Printer (Toronto)
doc_00080	P000371.pdf	Report from a Select Committee of the House of Representatives, on the overland emigration route fro	1858	1850	other	Earle S. Goodrich, state printer (St Paul, Minn.)
doc_00081	cihm_38282.pdf	Hudson's Bay Company [microform] : return to an address of the Honourable the House of Commons, date	1858	1850	annual_report	[London? : s.n.]
doc_00082	cihm_42411.pdf	Abrégé de l'histoire du Canada depuis sa découverte jusqu'à 1840 [microforme] : à l'usage des maison	1858	1850	other	Québec : A. Coté
doc_00083	cihm_43253.pdf	Rival routes to the ocean from the west and docks at Montreal [microform] : considered in a letter t	1858	1850	other	Montreal : J. Lovell
doc_00084	cihm_44218.pdf	Rapport sur l'exploration de la contrée située entre le lac Supérieur et les établissements de la ri	1858	1850	other	[Toronto? : s.n.]
doc_00085	cihm_44219.pdf	Report on the exploration of the country between Lake Superior and the Red River settlement [microfo	1858	1850	other	[Toronto? : s.n.]
doc_00086	P000342.pdf	Rapport sur l'exploration de la contrée entre le lac Supérieur et la colonie de la rivière Rouge, et	1859	1850	other	John Lovell (Toronto)
doc_00087	P000367.pdf	North-West Territory: Reports of progress, together with a preliminary and general report on the Ass	1859	1850	other	Printed by John Lovell (Toronto)
doc_00088	P000382.pdf	Territoire du Nord-Ouest: rapports de progrès: aussi, un rapport préliminaire et un rapport général 	1859	1850	other	John Lovell, imprimeur (Toronto)
doc_00089	P000392.pdf	Exploration—British North America: Papers relative to the exploration by Captain Palliser of that po	1859	1850	other	Printed by G.E. Eyre & W. Spottiswoode for Her Majesty's Stationery Office (London)
doc_00090	cihm_18729.pdf	An essay suggestive of a scheme of colonisation adapted to the wild lands of British North America [	1859	1850	other	Montreal : J. Lovell; Toronto : W.C.F. Caverhill; Quebec : J. Lovell
doc_00091	cihm_22784.pdf	Report on the exploration of the country between Lake Superior and the Red River Settlement, and bet	1859	1850	other	[Toronto? : s.n.]
doc_00092	cihm_39119.pdf	Papers relative to the exploration by Captain Palliser of that portion of British North America whic	1859	1850	other	London : G.E. Eyre and W. Spottiswoode
doc_00093	cihm_41513.pdf	Reports of progress together with a preliminary and general report, on the Assiniboine and Saskatche	1859	1850	other	[Toronto? : s.n.]
doc_00094	cihm_43334.pdf	The Church missionary atlas [microform] : containing maps of the various spheres of the Church Missi	1859	1850	other	[London?] : Church Missionary House
doc_00095	cihm_44353.pdf	Rapport sur l'exploration de la contrée située entre le lac Supérieur et la colonie de la rivière Ro	1859	1850	other	[Toronto? : s.n.]
doc_00096	northwestterrit00offigoog.pdf	North-west territory : reports of progress : together with a preliminary and general report on the A	1859	1850	other	Toronto : Printed by J. Lovell
doc_00097	northwestterrito00hind.pdf	North-west territory : reports of progress : together with a preliminary and general report on the A	1859	1850	other	Toronto : Printed by J. Lovell
doc_00098	papersrelativeto00grea_0.pdf	Papers relative to the exploration of the country between Lake Superior and the Red River Settlement	1859	1850	other	London : Printed by G.E. Eyre and W. Spottiswoode for H. M. Stationery Office
doc_00099	rapportsurlexplo00daws.pdf	Rapport sur l'exploration de la contrée située entre le lac Supérieur et la Colonie de la Rivière Ro	1859	1850	other	Toronto : John Lovell, imprimeur...
doc_00100	reportonexplora00offigoog.pdf	Report on the exploration of the country between Lake Superior and the Red River settlement : and be	1859	1850	other	Toronto : J. Lovell, printer
doc_00101	attachorsamslic02haligoog_text.pdf	The attaché, or, Sam Slick in England. Vol. I	1843	1840	other	London : R. Bentley
doc_00102	salmagundiorwhi09paulgoog_text.pdf	Salmagundi, or, The whim-whams and opinions of Launcelot Langstaff, Esq., and others. Vol. I	1850	1850	other	London : H.G. Bohn
doc_00103	salmagundiorwhi11paulgoog_text.pdf	Salmagundi, or, The whim-whams and opinions of Launcelot Langstaff, Esq., and others. Vol. I	1850	1850	other	London : H.G. Bohn
doc_00104	outlinesastrono00hersgoog_text.pdf	Outlines of astronomy	1851	1850	other	London : Longman, Brown, Green, and Longmans
doc_00105	outlinesastrono06hersgoog_text.pdf	Outlines of astronomy	1851	1850	other	London : Longman, Brown, Green, and Longmans
doc_00106	territoiredunord00hind.pdf	Territoire du Nord-Ouest : rapports de progrès : aussi, un rapport préliminaire et un rapport généra	1859	1850	other	Toronto : J. Lovell, imprimeur
doc_00107	P000365.pdf	British North America: Reports of progress, together with a preliminary and general report, on the A	1860	1860	other	Printed by George Edward Eyre & William Spottiswoode for H.M.S.O. (London)
doc_00108	P000404.pdf	Exploration—British North America: Further papers relative to the exploration by the expedition unde	1860	1860	other	Printed by G.E. Eyre & William Spottiswoode for Her Majesty's Stationery Office (London)
doc_00109	P000412.pdf	Northwest British America and its relations to the State of Minnesota: A report communicated to the 	1860	1860	other	Newson, Moore, Foster & Co., printers (St. Paul, Minn.)
doc_00110	cihm_18738.pdf	Father Laval, or, The Jesuit missionary [microform] : a tale of the North American Indians	1860	1860	other	Baltimore : J. Murphy
doc_00111	cihm_35698.pdf	Narrative of the Canadian Red River exploring expedition of 1857 and of the Assinniboine and Saskatc	1860	1860	other	London : Longman, Green, Longman, and Roberts
doc_00112	cihm_35699.pdf	Narrative of the Canadian Red River exploring expedition of 1857 and of the Assinniboine and Saskatc	1860	1860	other	London : Longman, Green, Longman, and Roberts
doc_00113	narrativecanadi00hindgoog.pdf	Narrative of the Canadian Red River Exploring Expedition of 1857 and of the Assinniboine and Saskatc	1860	1860	other	London : Longman, Green, Longman and Roberts
doc_00114	narrativecanadi00hindgoog_text.pdf	Narrative of the Canadian Red River Exploring Expedition of 1857 and of the Assinniboine and Saskatc	1860	1860	other	London : Longman, Green, Longman and Roberts
doc_00115	narrativeofcanad01hind.pdf	Narrative of the Canadian Red river exploring expedition of 1857, and of the Assinniboine and Saskat	1860	1860	other	London, Longman, Green, Longman and Roberts
doc_00116	narrativeofcanad01hind_bw.pdf	Narrative of the Canadian Red river exploring expedition of 1857, and of the Assinniboine and Saskat	1860	1860	other	London, Longman, Green, Longman and Roberts
doc_00117	narrativeofcanad01hind_0.pdf	Narrative of the Canadian Red River exploring expedition of 1857, and of the Assinniboine and Saskat	1860	1860	other	London : Longman, Green, Longman, and Roberts
doc_00118	narrativeofcanad01hind_1.pdf	Narrative of the Canadian Red River exploring expedition of 1857, and of the Assinniboine and Saskat	1860	1860	other	London : Longman, Green, Longman, and Roberts
doc_00119	narrativeofcanad02hind.pdf	Narrative of the Canadian Red river exploring expedition of 1857, and of the Assinniboine and Saskat	1860	1860	other	London, Longman, Green, Longman and Roberts
doc_00120	narrativeofcanad02inhind.pdf	Narrative of the Canadian Red river exploring expedition of 1857 : and of the Assinniboine and Saska	1860	1860	other	London : Longman, Green, Longman and Roberts
doc_00121	narrativeofcanad02inhind_bw.pdf	Narrative of the Canadian Red river exploring expedition of 1857 : and of the Assinniboine and Saska	1860	1860	other	London : Longman, Green, Longman and Roberts
doc_00122	narrativeofcanad11860hind.pdf	Narrative of the Canadian Red River Exploring Expedition of 1857 : and of the Assinniboine and Saska	1860	1860	other	London : Longman, Green, Longman, and Roberts
doc_00123	narrativeofcanad11860hind_bw.pdf	Narrative of the Canadian Red River Exploring Expedition of 1857 : and of the Assinniboine and Saska	1860	1860	other	London : Longman, Green, Longman, and Roberts
doc_00124	narrativeofcanad21860hind.pdf	Narrative of the Canadian Red River Exploring Expedition of 1857 : and of the Assinniboine and Saska	1860	1860	other	London : Longman, Green, Longman, and Roberts
doc_00125	narrativeofcanad21860hind_bw.pdf	Narrative of the Canadian Red River Exploring Expedition of 1857 : and of the Assinniboine and Saska	1860	1860	other	London : Longman, Green, Longman, and Roberts
doc_00126	biostor-90664.pdf	Narrative of the Canadian Red River Exploring expedition of 1857, and of the Assinniboine and Saskat	1861	1860	other	unknown
doc_00127	P000427.pdf	A sketch of an overland route to British Columbia	1862	1860	other	W.C. Chewett & Co. (Toronto)
doc_00128	P007451.pdf	Mgr Grandin à Mgr De Mazenod: Montréal, le 1er juin 1860	1862	1860	other	Typographie veuve Marius Olive (Marseille)
doc_00129	cihm_22975.pdf	Relations between the United States and Northwest British America [microform] : letter from the secr	1862	1860	other	[Washington? : s.n.
doc_00130	1799310.pdf	A Visit to Red River and the Saskatchewan	1862	1860	other	Proceedings of the Royal Geographical Society of London
doc_00131	P009550.pdf	Journal de Mgr Grandin: sur le lac du Boeuf, le 4 juin 1861 [et] Mission de la Visitation, Grand-Por	1863	1860	other	Typographie Hennuyer et fils (Paris)
doc_00132	P007471.pdf	[Nouvelles du R.P. Vandenberghe]	1864	1860	other	Typographie Hennuyer et fils (Paris)
doc_00133	2338592.pdf	On the Commercial Progress and Resources of Central British America; the Lake Winnipeg and Saskatche	1864	1860	other	Journal of the Statistical Society of London
doc_00134	palozoicfossils21bill.pdf	Palæozoic fossils.	1865	1860	other	Montreal : Dawson Bros.
doc_00135	palozoicfossils21bill_bw.pdf	Palæozoic fossils.	1865	1860	other	Montreal : Dawson Bros.
doc_00136	P001321.pdf	Reform, race, and revenge: The rise and progress of the Riel movement in Quebec and Ontario	1866	1860	other	[s.n.] ([Toronto]?)
doc_00137	cihm_24828.pdf	A discussion of the general principles involved in the construction and action of the isometrical tr	1867	1860	other	Philadelphia : T.E. Zell
doc_00138	cihm_25145.pdf	Census of the United States and territories and of British America [microform] : giving the populati	1867	1860	census	New York : American News
doc_00139	cihm_25146.pdf	A charge delivered to the clergy of Newfoundland, June 25, 1866, and printed at their request [micro	1867	1860	other	London : Rivingtons
doc_00140	cihm_27156.pdf	Contre-poison [microforme] : la Confédération : c'est le salut du Bas-Canada : il faut se défier des	1867	1860	other	[Montréal? : s.n.]
doc_00141	P007494.pdf	Missions du vicariat de la Saskatchewan	1868	1860	other	Typographie Hennuyer et fils (Paris)
doc_00142	P009543.pdf	Lettre du R.P. Rémas au T. R. P. Général: Missions de Sainte-Anne, le 25 novembre 1806	1868	1860	other	Typographie Hennuyer et fils (Paris)
doc_00143	P009547.pdf	Lettre du R. P. Lacombe au T. R. P. Supérieur Générale: Mission de Saint-Alberta, fête de l'Epiphani	1868	1860	other	Typographie Hennuyer et fils (Paris)
doc_00144	P009549.pdf	Lettre du même au T. R. P. Supérieur Générale: Mission Saint-Paul-des-Cris, sur la Saskatchawan [Sas	1868	1860	other	Typographie Hennuyer et fils (Paris)
